0.989778, -0.963175, 0.989778, 1.000000, -0.963175, 0.979556
0.986881, -1.153430, 0.986881, 1.000000, -1.153430, 0.973761
0.992362, -1.388341, 0.992362, 1.000000, -1.388341, 0.984724
0.993198, -1.507411, 0.993198, 1.000000, -1.507411, 0.986397
0.991270, -1.599817, 0.991270, 1.000000, -1.599817, 0.982540
0.994907, -1.715499, 0.994907, 1.000000, -1.715499, 0.989813
0.996184, -1.836611, 0.996184, 1.000000, -1.836611, 0.992368
0.993258, -1.888238, 0.993258, 1.000000, -1.888238, 0.986516
0.993413, -1.931477, 0.993413, 1.000000, -1.931477, 0.986827
0.993618, -1.956120, 0.993618, 1.000000, -1.956120, 0.987236
